#	X	Y	Z	mod	pos
1	-5399	4005	9034	b	l
2	-5399	3453	8899	b	l
3	-5399	2999	9034	b	l
4	-5399	2461	8899	b	l
5	-5399	1993	9034	b	l
6	-5399	1470	8899	b	l
7	-5399	988	9034	b	l
8	-5399	500	9169	b	l
9	-5399	0	9304	b	l
10	-5399	-500	9169	b	l
11	-5399	-988	9034	b	l
12	-5399	-1470	8899	b	l
13	-5399	-1993	9034	b	l
14	-5399	-2461	8899	b	l
15	-5399	-2999	9034	b	l
16	-5399	-3453	8899	b	l
17	-5399	-4005	9034	b	l
18	-4079	4128	9304	b	l
19	-4079	3573	9169	b	l
20	-4079	3120	9304	b	l
21	-4079	2578	9169	b	l
22	-4079	2110	9304	b	l
23	-4079	1585	9169	b	l
24	-4079	1105	9304	b	l
25	-4082	750	9447	s	l
26	-4232	510	9577	s	l
27	-4082	250	9447	s	l
28	-4232	0	9577	s	l
29	-4082	-250	9447	s	l
30	-4232	-510	9577	s	l
31	-4082	-750	9447	s	l
32	-4079	-1105	9304	b	l
33	-4079	-1585	9169	b	l
34	-4079	-2110	9304	b	l
35	-4079	-2578	9169	b	l
36	-4079	-3120	9304	b	l
37	-4079	-3573	9169	b	l
38	-4079	-4128	9304	b	l
39	-2767	4195	9447	s	l
40	-2867	4002	9577	s	l
41	-2767	3695	9447	s	l
42	-2867	3492	9577	s	l
43	-2767	3195	9447	s	l
44	-2867	2982	9577	s	l
45	-2767	2695	9447	s	l
46	-2867	2477	9577	s	l
47	-2767	2195	9447	s	l
48	-2867	1972	9577	s	l
49	-2767	1659	9447	s	l
50	-2867	1467	9577	s	l
51	-2767	1250	9712	s	l
52	-2867	1020	9842	s	l
53	-2767	750	9712	s	l
54	-2867	510	9842	s	l
55	-2767	250	9712	s	l
56	-2867	0	9842	s	l
57	-2767	-250	9712	s	l
58	-2867	-510	9842	s	l
59	-2767	-750	9712	s	l
60	-2867	-1020	9842	s	l
61	-2767	-1250	9712	s	l
62	-2867	-1467	9577	s	l
63	-2767	-1659	9447	s	l
64	-2867	-1972	9577	s	l
65	-2767	-2195	9447	s	l
66	-2867	-2477	9577	s	l
67	-2767	-2695	9447	s	l
68	-2867	-2982	9577	s	l
69	-2767	-3195	9447	s	l
70	-2867	-3492	9577	s	l
71	-2767	-3695	9447	s	l
72	-2867	-4002	9577	s	l
73	-2767	-4195	9447	s	l
74	-1417	4250	9712	s	l
75	-1467	4058	9842	s	l
76	-1417	3750	9712	s	l
77	-1467	3548	9842	s	l
78	-1417	3250	9712	s	l
79	-1467	3038	9842	s	l
80	-1417	2750	9712	s	l
81	-1467	2533	9842	s	l
82	-1417	2250	9712	s	l
83	-1467	2028	9842	s	l
84	-1417	1750	9712	s	l
85	-1467	1523	9842	s	l
86	-1467	-1523	9842	s	l
87	-1417	-1750	9712	s	l
88	-1467	-2028	9842	s	l
89	-1417	-2250	9712	s	l
90	-1467	-2533	9842	s	l
91	-1417	-2750	9712	s	l
92	-1467	-3038	9842	s	l
93	-1417	-3250	9712	s	l
94	-1467	-3548	9842	s	l
95	-1417	-3750	9712	s	l
96	-1467	-4058	9842	s	l
97	-1417	-4250	9712	s	l
98	0	4255	10000	s	m
99	0	4053	10130	s	m
100	0	3755	10000	s	m
101	0	3547	10130	s	m
102	0	3255	10000	s	m
103	0	3041	10130	s	m
104	0	2755	10000	s	m
105	0	2535	10130	s	m
106	0	2255	10000	s	m
107	0	2029	10130	s	m
108	0	1755	10000	s	m
109	0	1523	10130	s	m
110	0	-1523	10130	s	m
111	0	-1755	10000	s	m
112	0	-2029	10130	s	m
113	0	-2255	10000	s	m
114	0	-2535	10130	s	m
115	0	-2755	10000	s	m
116	0	-3041	10130	s	m
117	0	-3255	10000	s	m
118	0	-3547	10130	s	m
119	0	-3755	10000	s	m
120	0	-4053	10130	s	m
121	0	-4255	10000	s	m
122	1417	4250	9712	s	r
123	1467	4058	9842	s	r
124	1417	3750	9712	s	r
125	1467	3548	9842	s	r
126	1417	3250	9712	s	r
127	1467	3038	9842	s	r
128	1417	2750	9712	s	r
129	1467	2533	9842	s	r
130	1417	2250	9712	s	r
131	1467	2028	9842	s	r
132	1417	1750	9712	s	r
133	1467	1523	9842	s	r
134	1467	-1523	9842	s	r
135	1417	-1750	9712	s	r
136	1467	-2028	9842	s	r
137	1417	-2250	9712	s	r
138	1467	-2533	9842	s	r
139	1417	-2750	9712	s	r
140	1467	-3038	9842	s	r
141	1417	-3250	9712	s	r
142	1467	-3548	9842	s	r
143	1417	-3750	9712	s	r
144	1467	-4058	9842	s	r
145	1417	-4250	9712	s	r
146	2767	4195	9447	s	r
147	2867	4002	9577	s	r
148	2767	3695	9447	s	r
149	2867	3492	9577	s	r
150	2767	3195	9447	s	r
151	2867	2982	9577	s	r
152	2767	2695	9447	s	r
153	2867	2477	9577	s	r
154	2767	2195	9447	s	r
155	2867	1972	9577	s	r
156	2767	1659	9447	s	r
157	2867	1467	9577	s	r
158	2767	1250	9712	s	r
159	2867	1020	9842	s	r
160	2767	750	9712	s	r
161	2867	510	9842	s	r
162	2767	250	9712	s	r
163	2867	0	9842	s	r
164	2767	-250	9712	s	r
165	2867	-510	9842	s	r
166	2767	-750	9712	s	r
167	2867	-1020	9842	s	r
168	2767	-1250	9712	s	r
169	2867	-1467	9577	s	r
170	2767	-1659	9447	s	r
171	2867	-1972	9577	s	r
172	2767	-2195	9447	s	r
173	2867	-2477	9577	s	r
174	2767	-2695	9447	s	r
175	2867	-2982	9577	s	r
176	2767	-3195	9447	s	r
177	2867	-3492	9577	s	r
178	2767	-3695	9447	s	r
179	2867	-4002	9577	s	r
180	2767	-4195	9447	s	r
181	4079	4128	9304	b	r
182	4079	3573	9169	b	r
183	4079	3120	9304	b	r
184	4079	2578	9169	b	r
185	4079	2110	9304	b	r
186	4079	1585	9169	b	r
187	4079	1105	9304	b	r
188	4082	750	9447	s	r
189	4232	510	9577	s	r
190	4082	250	9447	s	r
191	4232	0	9577	s	r
192	4082	-250	9447	s	r
193	4232	-510	9577	s	r
194	4082	-750	9447	s	r
195	4079	-1105	9304	b	r
196	4079	-1585	9169	b	r
197	4079	-2110	9304	b	r
198	4079	-2578	9169	b	r
199	4079	-3120	9304	b	r
200	4079	-3573	9169	b	r
201	4079	-4128	9304	b	r
202	5399	4005	9034	b	r
203	5399	3453	8899	b	r
204	5399	2999	9034	b	r
205	5399	2461	8899	b	r
206	5399	1993	9034	b	r
207	5399	1470	8899	b	r
208	5399	988	9034	b	r
209	5399	500	9169	b	r
210	5399	0	9304	b	r
211	5399	-500	9169	b	r
212	5399	-988	9034	b	r
213	5399	-1470	8899	b	r
214	5399	-1993	9034	b	r
215	5399	-2461	8899	b	r
216	5399	-2999	9034	b	r
217	5399	-3453	8899	b	r
218	5399	-4005	9034	b	r
